attributes,3XS,2XS,XS,S,M,L,XL,2XL
Body Height,< 160 cm,160 - 166 cm,166 - 172 cm,172 - 178 cm,178 - 184 cm,184 - 190 cm,190 - 196 cm,> 196 cm
Seat Height,610 - 730 mm,640 - 760 mm,670 - 790 mm,700 - 820 mm,730 - 850 mm,760 - 880 mm,790 - 910 mm,820 - 940 mm
Seat Tube Length,422 mm,452 mm,482 mm,512 mm,542 mm,572 mm,602 mm,632 mm
Top Tube Length,501 mm,522 mm,532 mm,550 mm,562 mm,578 mm,601 mm,617 mm
Head Tube Length,94 mm,113 mm,102 mm,119 mm,146 mm,168 mm,192 mm,214 mm
Head Tube Angle,"70,2°","71,5°",71°,"72,25°","72,5°","72,5°","72,7°","72,7°"
Seat Tube Angle,"73,5°","73,5°","73,5°","73,5°","73,5°","73,5°","73,5°","73,5°"
Chainstay Length,415 mm,415 mm,425 mm,425 mm,425 mm,425 mm,425 mm,425 mm
Wheel Base,970 mm,980 mm,1.000 mm,1.006 mm,1.018 mm,1.034 mm,1.055 mm,1.072 mm
Stack,487 mm,510 mm,527 mm,547 mm,572 mm,593 mm,616 mm,637 mm
Reach,357 mm,371 mm,376 mm,388 mm,393 mm,402 mm,418 mm,428 mm
Bottom Bracket Offset,55 mm,55 mm,66 mm,66 mm,64 mm,64 mm,64 mm,64 mm
Spacer,"27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm"
Stem Length,80 mm,80 mm,80 mm,80 mm,90 mm,100 mm,100 mm,110 mm
Handlebar Width,380 mm,400 mm,420 mm,420 mm,420 mm,440 mm,440 mm,460 mm
Crank Length,"165,0 mm","165,0 mm","170,0 mm","170,0 mm","172,5 mm","175,0 mm","175,0 mm","175,0 mm"
Chainring Size,40,40,40,40,40,40,40,40
Seat Post Diameter,"27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm"
Seat Post Length,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm
Maximum Seat Post Insertion Depth,210 mm,210 mm,210 mm,210 mm,210 mm,210 mm,210 mm,210 mm
Seat Post Insertion Depth,90 mm,90 mm,90 mm,90 mm,90 mm,90 mm,90 mm,90 mm
Wheel Size,"27,5""","27,5""","28""","28""","28""","28""","28""","28"""
Disc Size,140 mm,140 mm,140 mm,160 mm,160 mm,160 mm,160 mm,160 mm
